year,mechanic,count
1960,Dice Rolling,
1960,Hand Management,1
1960,Set Collection,3
1960,Card Drafting,1
1960,Tile Placement,1
1960,Area Majority/Influence,
1960,Cooperative,2
1960,Variable Player Powers,
1961,Dice Rolling,2
1961,Hand Management,
1961,Set Collection,3
1961,Card Drafting,
1961,Tile Placement,
1961,Area Majority/Influence,
1961,Cooperative,
1961,Variable Player Powers,1
1962,Dice Rolling,6
1962,Hand Management,2
1962,Set Collection,
1962,Card Drafting,
1962,Tile Placement,
1962,Area Majority/Influence,
1962,Cooperative,
1962,Variable Player Powers,
1963,Dice Rolling,1
1963,Hand Management,3
1963,Set Collection,1
1963,Card Drafting,
1963,Tile Placement,3
1963,Area Majority/Influence,
1963,Cooperative,
1963,Variable Player Powers,
1964,Dice Rolling,3
1964,Hand Management,2
1964,Set Collection,4
1964,Card Drafting,2
1964,Tile Placement,2
1964,Area Majority/Influence,
1964,Cooperative,1
1964,Variable Player Powers,
1965,Dice Rolling,4
1965,Hand Management,1
1965,Set Collection,3
1965,Card Drafting,
1965,Tile Placement,3
1965,Area Majority/Influence,
1965,Cooperative,
1965,Variable Player Powers,
1966,Dice Rolling,4
1966,Hand Management,1
1966,Set Collection,2
1966,Card Drafting,
1966,Tile Placement,1
1966,Area Majority/Influence,
1966,Cooperative,
1966,Variable Player Powers,
1967,Dice Rolling,4
1967,Hand Management,3
1967,Set Collection,2
1967,Card Drafting,
1967,Tile Placement,2
1967,Area Majority/Influence,
1967,Cooperative,1
1967,Variable Player Powers,
1968,Dice Rolling,2
1968,Hand Management,
1968,Set Collection,3
1968,Card Drafting,2
1968,Tile Placement,2
1968,Area Majority/Influence,1
1968,Cooperative,
1968,Variable Player Powers,1
1969,Dice Rolling,3
1969,Hand Management,1
1969,Set Collection,5
1969,Card Drafting,
1969,Tile Placement,5
1969,Area Majority/Influence,
1969,Cooperative,
1969,Variable Player Powers,2
1970,Dice Rolling,4
1970,Hand Management,1
1970,Set Collection,
1970,Card Drafting,
1970,Tile Placement,1
1970,Area Majority/Influence,
1970,Cooperative,
1970,Variable Player Powers,
1971,Dice Rolling,11
1971,Hand Management,3
1971,Set Collection,1
1971,Card Drafting,1
1971,Tile Placement,1
1971,Area Majority/Influence,1
1971,Cooperative,
1971,Variable Player Powers,2
1972,Dice Rolling,19
1972,Hand Management,
1972,Set Collection,5
1972,Card Drafting,1
1972,Tile Placement,2
1972,Area Majority/Influence,
1972,Cooperative,
1972,Variable Player Powers,2
1973,Dice Rolling,16
1973,Hand Management,1
1973,Set Collection,5
1973,Card Drafting,2
1973,Tile Placement,2
1973,Area Majority/Influence,2
1973,Cooperative,1
1973,Variable Player Powers,
1974,Dice Rolling,21
1974,Hand Management,1
1974,Set Collection,3
1974,Card Drafting,
1974,Tile Placement,9
1974,Area Majority/Influence,2
1974,Cooperative,
1974,Variable Player Powers,
1975,Dice Rolling,30
1975,Hand Management,5
1975,Set Collection,7
1975,Card Drafting,3
1975,Tile Placement,6
1975,Area Majority/Influence,1
1975,Cooperative,1
1975,Variable Player Powers,5
1976,Dice Rolling,20
1976,Hand Management,
1976,Set Collection,3
1976,Card Drafting,1
1976,Tile Placement,1
1976,Area Majority/Influence,
1976,Cooperative,
1976,Variable Player Powers,7
1977,Dice Rolling,23
1977,Hand Management,2
1977,Set Collection,10
1977,Card Drafting,
1977,Tile Placement,6
1977,Area Majority/Influence,2
1977,Cooperative,2
1977,Variable Player Powers,11
1978,Dice Rolling,24
1978,Hand Management,7
1978,Set Collection,
1978,Card Drafting,
1978,Tile Placement,8
1978,Area Majority/Influence,2
1978,Cooperative,2
1978,Variable Player Powers,5
1979,Dice Rolling,33
1979,Hand Management,4
1979,Set Collection,4
1979,Card Drafting,
1979,Tile Placement,6
1979,Area Majority/Influence,2
1979,Cooperative,4
1979,Variable Player Powers,8
1980,Dice Rolling,31
1980,Hand Management,5
1980,Set Collection,12
1980,Card Drafting,2
1980,Tile Placement,12
1980,Area Majority/Influence,3
1980,Cooperative,7
1980,Variable Player Powers,11
1981,Dice Rolling,36
1981,Hand Management,3
1981,Set Collection,6
1981,Card Drafting,
1981,Tile Placement,5
1981,Area Majority/Influence,1
1981,Cooperative,2
1981,Variable Player Powers,8
1982,Dice Rolling,31
1982,Hand Management,9
1982,Set Collection,9
1982,Card Drafting,2
1982,Tile Placement,8
1982,Area Majority/Influence,
1982,Cooperative,2
1982,Variable Player Powers,10
1983,Dice Rolling,30
1983,Hand Management,7
1983,Set Collection,12
1983,Card Drafting,1
1983,Tile Placement,6
1983,Area Majority/Influence,3
1983,Cooperative,8
1983,Variable Player Powers,10
1984,Dice Rolling,24
1984,Hand Management,6
1984,Set Collection,6
1984,Card Drafting,
1984,Tile Placement,3
1984,Area Majority/Influence,4
1984,Cooperative,2
1984,Variable Player Powers,6
1985,Dice Rolling,38
1985,Hand Management,5
1985,Set Collection,14
1985,Card Drafting,2
1985,Tile Placement,8
1985,Area Majority/Influence,4
1985,Cooperative,2
1985,Variable Player Powers,9
1986,Dice Rolling,34
1986,Hand Management,6
1986,Set Collection,16
1986,Card Drafting,2
1986,Tile Placement,11
1986,Area Majority/Influence,5
1986,Cooperative,7
1986,Variable Player Powers,6
1987,Dice Rolling,30
1987,Hand Management,6
1987,Set Collection,12
1987,Card Drafting,3
1987,Tile Placement,8
1987,Area Majority/Influence,1
1987,Cooperative,2
1987,Variable Player Powers,12
1988,Dice Rolling,30
1988,Hand Management,8
1988,Set Collection,14
1988,Card Drafting,3
1988,Tile Placement,9
1988,Area Majority/Influence,4
1988,Cooperative,4
1988,Variable Player Powers,6
1989,Dice Rolling,26
1989,Hand Management,8
1989,Set Collection,9
1989,Card Drafting,2
1989,Tile Placement,10
1989,Area Majority/Influence,2
1989,Cooperative,4
1989,Variable Player Powers,17
1990,Dice Rolling,31
1990,Hand Management,11
1990,Set Collection,10
1990,Card Drafting,4
1990,Tile Placement,5
1990,Area Majority/Influence,
1990,Cooperative,2
1990,Variable Player Powers,9
1991,Dice Rolling,41
1991,Hand Management,9
1991,Set Collection,15
1991,Card Drafting,2
1991,Tile Placement,14
1991,Area Majority/Influence,4
1991,Cooperative,10
1991,Variable Player Powers,13
1992,Dice Rolling,41
1992,Hand Management,12
1992,Set Collection,17
1992,Card Drafting,3
1992,Tile Placement,10
1992,Area Majority/Influence,5
1992,Cooperative,9
1992,Variable Player Powers,13
1993,Dice Rolling,51
1993,Hand Management,14
1993,Set Collection,13
1993,Card Drafting,6
1993,Tile Placement,10
1993,Area Majority/Influence,5
1993,Cooperative,6
1993,Variable Player Powers,14
1994,Dice Rolling,39
1994,Hand Management,19
1994,Set Collection,10
1994,Card Drafting,3
1994,Tile Placement,16
1994,Area Majority/Influence,7
1994,Cooperative,9
1994,Variable Player Powers,18
1995,Dice Rolling,43
1995,Hand Management,26
1995,Set Collection,16
1995,Card Drafting,9
1995,Tile Placement,12
1995,Area Majority/Influence,6
1995,Cooperative,8
1995,Variable Player Powers,18
1996,Dice Rolling,39
1996,Hand Management,30
1996,Set Collection,23
1996,Card Drafting,14
1996,Tile Placement,18
1996,Area Majority/Influence,6
1996,Cooperative,4
1996,Variable Player Powers,13
1997,Dice Rolling,41
1997,Hand Management,33
1997,Set Collection,28
1997,Card Drafting,5
1997,Tile Placement,18
1997,Area Majority/Influence,10
1997,Cooperative,7
1997,Variable Player Powers,21
1998,Dice Rolling,42
1998,Hand Management,39
1998,Set Collection,35
1998,Card Drafting,15
1998,Tile Placement,19
1998,Area Majority/Influence,10
1998,Cooperative,7
1998,Variable Player Powers,19
1999,Dice Rolling,44
1999,Hand Management,42
1999,Set Collection,36
1999,Card Drafting,8
1999,Tile Placement,26
1999,Area Majority/Influence,14
1999,Cooperative,
1999,Variable Player Powers,19
2000,Dice Rolling,57
2000,Hand Management,47
2000,Set Collection,56
2000,Card Drafting,12
2000,Tile Placement,25
2000,Area Majority/Influence,15
2000,Cooperative,14
2000,Variable Player Powers,29
2001,Dice Rolling,48
2001,Hand Management,49
2001,Set Collection,59
2001,Card Drafting,14
2001,Tile Placement,44
2001,Area Majority/Influence,18
2001,Cooperative,13
2001,Variable Player Powers,29
2002,Dice Rolling,63
2002,Hand Management,60
2002,Set Collection,44
2002,Card Drafting,17
2002,Tile Placement,46
2002,Area Majority/Influence,14
2002,Cooperative,13
2002,Variable Player Powers,39
2003,Dice Rolling,89
2003,Hand Management,76
2003,Set Collection,47
2003,Card Drafting,25
2003,Tile Placement,38
2003,Area Majority/Influence,16
2003,Cooperative,8
2003,Variable Player Powers,33
2004,Dice Rolling,114
2004,Hand Management,88
2004,Set Collection,53
2004,Card Drafting,29
2004,Tile Placement,36
2004,Area Majority/Influence,27
2004,Cooperative,11
2004,Variable Player Powers,50
2005,Dice Rolling,121
2005,Hand Management,89
2005,Set Collection,65
2005,Card Drafting,37
2005,Tile Placement,43
2005,Area Majority/Influence,28
2005,Cooperative,11
2005,Variable Player Powers,35
2006,Dice Rolling,106
2006,Hand Management,91
2006,Set Collection,50
2006,Card Drafting,38
2006,Tile Placement,50
2006,Area Majority/Influence,27
2006,Cooperative,4
2006,Variable Player Powers,43
2007,Dice Rolling,125
2007,Hand Management,88
2007,Set Collection,73
2007,Card Drafting,48
2007,Tile Placement,40
2007,Area Majority/Influence,41
2007,Cooperative,10
2007,Variable Player Powers,45
2008,Dice Rolling,151
2008,Hand Management,109
2008,Set Collection,79
2008,Card Drafting,38
2008,Tile Placement,52
2008,Area Majority/Influence,48
2008,Cooperative,18
2008,Variable Player Powers,37
2009,Dice Rolling,162
2009,Hand Management,134
2009,Set Collection,84
2009,Card Drafting,51
2009,Tile Placement,67
2009,Area Majority/Influence,47
2009,Cooperative,22
2009,Variable Player Powers,53
2010,Dice Rolling,172
2010,Hand Management,153
2010,Set Collection,92
2010,Card Drafting,62
2010,Tile Placement,67
2010,Area Majority/Influence,46
2010,Cooperative,30
2010,Variable Player Powers,59
2011,Dice Rolling,209
2011,Hand Management,179
2011,Set Collection,95
2011,Card Drafting,80
2011,Tile Placement,64
2011,Area Majority/Influence,63
2011,Cooperative,26
2011,Variable Player Powers,72
2012,Dice Rolling,226
2012,Hand Management,226
2012,Set Collection,97
2012,Card Drafting,87
2012,Tile Placement,66
2012,Area Majority/Influence,84
2012,Cooperative,38
2012,Variable Player Powers,91
2013,Dice Rolling,204
2013,Hand Management,218
2013,Set Collection,107
2013,Card Drafting,83
2013,Tile Placement,59
2013,Area Majority/Influence,86
2013,Cooperative,63
2013,Variable Player Powers,114
2014,Dice Rolling,244
2014,Hand Management,304
2014,Set Collection,134
2014,Card Drafting,121
2014,Tile Placement,79
2014,Area Majority/Influence,93
2014,Cooperative,65
2014,Variable Player Powers,120
2015,Dice Rolling,270
2015,Hand Management,294
2015,Set Collection,182
2015,Card Drafting,145
2015,Tile Placement,73
2015,Area Majority/Influence,115
2015,Cooperative,107
2015,Variable Player Powers,182
2016,Dice Rolling,275
2016,Hand Management,342
2016,Set Collection,187
2016,Card Drafting,139
2016,Tile Placement,82
2016,Area Majority/Influence,118
2016,Cooperative,125
2016,Variable Player Powers,168
2017,Dice Rolling,289
2017,Hand Management,342
2017,Set Collection,224
2017,Card Drafting,158
2017,Tile Placement,102
2017,Area Majority/Influence,135
2017,Cooperative,173
2017,Variable Player Powers,191
2018,Dice Rolling,280
2018,Hand Management,281
2018,Set Collection,206
2018,Card Drafting,155
2018,Tile Placement,116
2018,Area Majority/Influence,136
2018,Cooperative,159
2018,Variable Player Powers,202
2019,Dice Rolling,213
2019,Hand Management,230
2019,Set Collection,146
2019,Card Drafting,110
2019,Tile Placement,93
2019,Area Majority/Influence,84
2019,Cooperative,155
2019,Variable Player Powers,158
